SRCHWRD_NM,SRCHWRD_MENTN_CO,ORIGIN_CL_NM,REPRSNT_KWRD_NM,REPRSNT_KWRD_MENTN_CO,ALL_KWRD_CN,ALL_KWRD_CO,NTCE_YM
메이즈랜드,1,페이스북,에코랜드,1,에코랜드/선녀와나무꾼/숨도/일출랜드/상효원/세리월드/카멜리아힐/힙플레이스/국내여행,9,202212
제주관광,1,페이스북,에코랜드,1,에코랜드/힙플레이스/국내여행/여행추천/제주여행/제주여행추천/제주핫플/제주핫플레이스/제주가볼만한곳/제주관광지추천,10,202212
제주카페,18,페이스북,제주여행,14,제주여행/제주카페추천/국내여행/여행추천/제주여행추천/제주핫플/힙플레이스/제주맛집/제주가볼만한곳/서귀포카페/제주도맛집/제주공항근처맛집/제주애월맛집/애월데이트코스/제주데이트코스/애월카페/제주신상카페/제주핫플레이스/제주데이트/서귀포카페추천/제주시맛집/제주디저트맛집/위이/카페추천/여행지추천/제주와인바/마녀의언덕카페/인스밀/제주도/서귀포/서귀포여행/서귀포분좋카/서귀포맛집/마녀의언덕/숏트롱시네마/애월가볼만한곳/제주혼여행/애월여행/몰츠/애월맛집/애월브런치/드르쿰다in성산/제주동쪽가볼만한곳/성산가볼만한곳/구좌가볼만한곳/믿카투/드르쿰다인성산/드르쿰다성산/랏파이샵/제주파이집/카페테틈제주/제주블루보틀/구좌카페/승무원/제주향토음식/제주먹거리/서귀피안베이커리/제주베이커리카페/레이지펌프/제주바다/제주오션뷰/여름정원/마마롱/루브린라운지/서귀포가볼만한곳/목장카페드르쿰다/제주액티비티/제주스럽/애월카페추천/제주디저트카페/듀포레/제주여행코스/고산의낮/고산의밤/제주위스키,75,202212
제주여행,68,페이스북,제주핫플,36,제주핫플/제주여행추천/국내여행/여행추천/제주가볼만한곳/힙플레이스/서귀포/제주도/제주핫플레이스/제주카페/제주카페추천/서귀포가볼만한곳/제주맛집/서귀포여행/제주여행코스/제주데이트코스/제주도맛집/서귀포맛집/목장카페드르쿰다/서귀포핫플/애월맛집/알제이/제주동쪽가볼만한곳/제주데이트/광치기해변/서귀포카페/제주포토존/겨울제주/제주승마체험/숏트롱시네마/제주애월맛집/애월데이트코스/애월여행/애월카페/제주atv/제주이색체험/드르쿰다in성산/성산가볼만한곳/드르쿰다인성산/제주겨울여행/제주공항근처/제주신상카페/성산카페/아이와제주/제주카트체험/제주아트서커스/제주설경/제주아이랑가볼만한곳/아이랑제주여행/스팅그레이/바이나흐튼크리스마스박물관/제주소품샵/제주공항근처맛집/제주디저트맛집/우무/애월핫플/성산맛집/드르쿰다atvin상효/제주액티비티/제주도시정원/중문여행코스/제주흑돼지맛집/서귀포흑돼지맛집/돼잘알/도시정원제주/1100고지/에오마르/성산일출봉/위이/카페추천/여행지추천/제주와인바/트로이테마농원/제주감귤체험/애월가볼만한곳/제주혼여행/몰츠/애월브런치/드르쿰다ATVin상효/휴애리/서귀포데이트코스/제주실내체험/제주원데이클래스/제주바티/세모작/제주공방/구좌가볼만한곳/믿카투/드르쿰다성산/제주겨울/한라산등반/한라산설경/한라산1100고지/제주데이트추천/제주시가볼만한곳/도누케이크하우스/제주도넛맛집/제주빵지순례/랏파이샵/제주파이집/카페테틈제주/고흐의정원/유채꽃밭/제주유채꽃/제주블루보틀/구좌카페/닭머르해안길/제주일몰/제주일몰맛집/닭머르/닭머르일몰/2022제주/제주일출/제주일출맛집/드르쿰다In성산/중문카페/중문가볼만한곳/서귀포브런치/제주브런치/제주영화촬영지/제주가족여행/제주아이와가볼만한곳/제주목장카페/아트서커스/제주서커스/승무원/제주향토음식/제주먹거리/에코랜드/제주관광지추천/무릉연화303/제주브런치맛집/수목원테마파크/크리스마스이벤트/제주야시장/코코몽에코파크/서귀피안베이커리/제주베이커리카페/레이지펌프/제주바다/제주오션뷰/제주구아우쇼콜라/구아우쇼콜라/여름정원/마마롱/바브드묘/제주독채/크리스마스/크리스마스박물관/제주겨울여행지추천/썸제주/제주기념품/제주기념품샵/제주여행선물/제주소품샵추천/제주답례품/듀포레/서귀포소품샵/예술상점꺄르르/산방산/테라도스/제주서쪽핫플/제주서쪽가볼만한곳/제주디저트/차우펍/너이제육지못가/차우/제주혼술/월정혼술/월정칵테일/월정펍/제레미애월/제주애월여행/제주한달살기/제주도크리스마스/서귀포크리스마스/바이나흐튼/서귀포안덕가볼만한곳/다이나믹메이즈/헬로키티아일랜드/서귀포실내/칠사돈한담점/제주흑돼지/칠사돈/한담해변/애월한담/제주공항근처가볼만한곳/언플러그/이호테우/이호테우해수욕장/카페송키/무지개해안도로/표선드르쿰다/드르쿰다제주/드르쿰다/제주표선갈만한곳/표선카페/제주짚라인체험/사라오름/사라오름전망대/산정호수/제주사라오름/제주트래킹/김영갑갤러리두모악/애월기록/그날의기록/달당/아베크아롬/쿰다atv/드르쿰다atv/호근동동백/제주동백/서귀포동백/서귀포동백핫플/난산리식당/페를로까지/아일랜드오아시스/제주코스요리/재주도/겨울제주여행/12월제주/제주귤따기체험/제주에인감귤밭/1100고지설경/제주첫눈/도주제김밥/다정이네김밥/제주김밥/도주제/다정이네/산방산탄산온천/제주온천/사계가볼만한곳/제주동족가볼만한곳/스누피가든/코코리코케이크/제주기념일/제주디자인케이크/제주케이크주문/1100고지습지/제주한라산/제주리틀프린스뮤지엄/리틀프린스뮤지엄/비양도/사계해안/한라산/액티브파크제주/한림핫플/고산의낮/고산의밤/제주위스키/아일랜드플라워/동박낭/제주동백꽃/서귀포올레시장/올레시장맛집/제주갈치추천/제주갈치/갈치구이/갈치조림/제주갈치구이,261,202212
제주가볼만한곳,27,페이스북,제주여행,24,제주여행/국내여행/여행추천/제주여행추천/힙플레이스/제주핫플/제주핫플레이스/서귀포가볼만한곳/제주여행코스/제주카페추천/제주도/제주맛집/제주카페/서귀포/제주데이트/제주아트서커스/제주데이트코스/제주아이랑가볼만한곳/아이랑제주여행/스팅그레이/서귀포여행/트로이테마농원/제주감귤체험/제주승마체험/제주겨울/제주겨울여행/한라산등반/한라산설경/한라산1100고지/제주공항근처/제주시가볼만한곳/제주먹킷리스트/제주먹스타그램/제주맛집추천/제주맛집투어/고흐의정원/유채꽃밭/제주유채꽃/제주블루보틀/구좌카페/아트서커스/제주서커스/아이와제주/제주크리스마스/제주분위기맛집/승무원/제주향토음식/제주먹거리/에코랜드/제주관광지추천/무릉연화303/제주브런치맛집/코코몽에코파크/제주구아우쇼콜라/구아우쇼콜라/여름정원/바브드묘/제주독채/듀포레/제주디저트맛집/서귀포핫플/제주소품샵/서귀포소품샵/예술상점꺄르르/산방산/차우펍/너이제육지못가/차우/제주혼술/월정혼술/월정칵테일/월정펍/바이나흐튼크리스마스박물관/제주도크리스마스/서귀포크리스마스/바이나흐튼/서귀포안덕가볼만한곳/사라오름/사라오름전망대/산정호수/제주사라오름/제주트래킹/1100고지습지/제주한라산/제주리틀프린스뮤지엄/리틀프린스뮤지엄/액티브파크제주/제주액티비티/한림핫플/아일랜드플라워/동박낭/제주동백꽃/서귀포올레시장/올레시장맛집/제주도맛집,95,202212
제주캠핑,0,페이스북,,0,,0,202212
제주차박,0,페이스북,,0,,0,202212
제주도관광,0,페이스북,,0,,0,202212
제주도카페,0,페이스북,,0,,0,202212
제주도여행,1,페이스북,제주벨미,1,제주벨미/흑돼지육포/서귀포맛집/서귀포필수코스/서귀포올레시장맛집/신행답례품/제주기념품/제주선물/제주선물추천,9,202212
제주도가볼만한곳,0,페이스북,,0,,0,202212
제주도캠핑,0,페이스북,,0,,0,202212
제주도차박,0,페이스북,,0,,0,202212
따라비오름,0,페이스북,,0,,0,202212
궷물오름,0,페이스북,,0,,0,202212
981파크,0,페이스북,,0,,0,202212
제주맛집,60,페이스북,제주도맛집,49,제주도맛집/애월맛집/제주공항근처맛집/제주시맛집/중문맛집/서귀포맛집/제주공항맛집/산방산맛집/신제주맛집/제주여행/제주핫플/제주카페/제주가볼만한곳/제주카페추천/서귀포가볼만한곳/서귀포/애월카페/제주맛집추천/제주디저트맛집/제주도/월정리맛집/도민맛집/제주도민맛집/서귀포핫플/서귀포카페/서귀포카페추천/드르쿰다일출축제in성산/제주일출/제주축제/포포몬/광고/제주여행코스/서귀포여행/몰츠/제주애월맛집/애월브런치/애월데이트코스/제주먹킷리스트/제주먹스타그램/제주맛집투어/제주협재하늘집/제주흑돼지맛집/제주흑돼지/제주흑돼지맛집추천/협재맛집/협재맛집추천/드르쿰다atvin상효/귤밭76번지/제주감귤체험/제주도감귤체험/감귤체험/제주귤따기체험/낭만농장귤밭76번지/제주에타/제주디저트/연동맛집/하도핑크/구좌맛집/제주파스타/제주파스타맛집/제주자전거학교/크라우드PC방/제주시청점/제주최고사양PC방/시청최고사양PC방/제주PC방/시청PC방/장동민/시청맛집/제주/봉자막창/봉자막창제주아라점/제주도고깃집/썸제주/제주기념품/제주기념품샵/제주여행선물/제주소품샵/제주소품샵추천/제주답례품/루브린라운지/목장카페드르쿰다/제주액티비티/연남물갈비/테디베어하우스테지움/제주전시회/제주테마파크/국내여행/제주스럽/애월카페추천/제주디저트카페/그리다앤쿡/제주레스토랑/듀포레/제주데이트/제주데이트코스/숏트롱시네마/제레미애월/제주애월여행/애월여행/제주한달살기/다이나믹메이즈/헬로키티아일랜드/서귀포실내/알제이/애월기록/그날의기록/달당/아베크아롬/난산리식당/페를로까지/아일랜드오아시스/제주코스요리/도주제김밥/다정이네김밥/제주김밥/도주제/다정이네/서귀포올레시장/올레시장맛집/미국식제주점/미국식/제주수제버거/제주수제버거맛집/제주버거맛집/베릿내오름/지미봉/성산일출봉/표선해수욕장/닭머르해안길/광치기해변/대수산봉/섭지코지/협재해수욕장/해녀삼춘/제주시소통협력센터/엉알해안,137,202212
제주도맛집,52,페이스북,제주맛집,49,제주맛집/제주공항근처맛집/애월맛집/제주시맛집/중문맛집/서귀포맛집/제주공항맛집/산방산맛집/신제주맛집/제주여행/제주카페/제주카페추천/서귀포여행/월정리맛집/도민맛집/제주도민맛집/제주디저트맛집/서귀포카페/서귀포카페추천/서귀포가볼만한곳/드르쿰다일출축제in성산/제주일출/제주축제/포포몬/광고/제주도시정원/중문여행코스/제주흑돼지맛집/서귀포흑돼지맛집/돼잘알/도시정원제주/제주가볼만한곳/드르쿰다atvin상효/서귀포핫플/귤밭76번지/제주감귤체험/제주도감귤체험/감귤체험/제주귤따기체험/낭만농장귤밭76번지/제주에타/제주디저트/연동맛집/하도핑크/구좌맛집/제주파스타/제주파스타맛집/제주자전거학교/봉자막창/봉자막창제주아라점/제주도고깃집/제주맛집추천/썸제주/제주기념품/제주기념품샵/제주여행선물/제주소품샵/제주소품샵추천/제주답례품/루브린라운지/목장카페드르쿰다/제주액티비티/연남물갈비/테디베어하우스테지움/제주전시회/제주테마파크/국내여행/제주스럽/애월카페/애월카페추천/제주디저트카페/그리다앤쿡/제주핫플/제주레스토랑/칠사돈한담점/제주도/애월핫플/제주흑돼지/칠사돈/한담해변/애월한담/서귀포올레시장/올레시장맛집/제주여행코스/미국식제주점/미국식/제주수제버거/제주수제버거맛집/제주버거맛집/해녀삼춘/제주시소통협력센터/엉알해안,92,202212
산방산,171,트위터,용머리해안,7,용머리해안/제주여행/금오름/새별오름/성산일출봉/엘파소/제주도겨울여행/서귀포겨울여행/안덕면카페/산방산카페/제주도카페추천/서귀포카페추천/제주도카페/서귀포카페/제주도가볼만한곳/서귀포가볼만한곳/인스타핫플/설쿰바당/하멜기념관/사계리포구/서귀포/제주특별자치도/탄산온천/릴스장인/산방산탄산온천/사계,26,202212
카멜리아힐,70,트위터,제주여행,2,제주여행/제주스쿠터/제주오토바이대여/신창풍차해안도로/안덕계곡/오설록티뮤지엄/EinKoreav/JejuIsland/CamelliaHill/제주도,10,202212
성산일출봉,206,트위터,제주,7,제주/제주도/jeju/여행/제주축제/아이뉴스24/산방산/금오름/라봉상회/제주애퐁당/식산봉/제주바다/제주성산/자연/제주동쪽오름/오조포구/빛나는제주/빛나는제주TV/제주특별자치도/오영훈/도지사/다함께미래로빛나는제주/빛의벙커/제주신화월드/제주여행/제주도여행/latepost/등산/성산일출축제/성산일출제,30,202212
스누피가든,108,트위터,비자림,1,비자림/예쁘지호/제주여행/제주가볼만한곳/제주도여행/제주스누피가든,6,202212
빛의벙커,44,트위터,성산일출봉,1,성산일출봉,1,202212
금오름,45,트위터,산방산,2,산방산/새별오름/성산일출봉/금악오름/제주여행,5,202212
용머리해안,42,트위터,산방산,7,산방산/설쿰바당/하멜기념관/사계리포구/서귀포/제주특별자치도,6,202212
비자림,128,트위터,제주여행,3,제주여행/머체왓/머체왓숲길/스누피가든/제주도/비자림로/벌목현장/강행/비자림로시민모임/삼나무/애기뿔소똥구리/맹꽁이/긴꼬리딱새/개발/확장공사/지구해요/뉴스펭귄,17,202212
천지연폭포,30,트위터,,0,,0,202212
천제연폭포,1,트위터,,0,,0,202212
새별오름,83,트위터,산방산,2,산방산/금오름,2,202212
제주실탄사격장,0,트위터,,0,,0,202212
테디베어뮤지엄제주,0,트위터,,0,,0,202212
여미지식물원,3,트위터,,0,,0,202212
메이즈랜드,4,트위터,,0,,0,202212
제주관광,71,트위터,제주도관광,4,제주도관광/제주맛집/제주/제주도/관광협회/착한소비/제주관광이용권/취약계층/취약계층아동/기부/제주특별자치도/jeju/오영훈/도지사/빛나는제주/빛나는제주TV/다함께미래로빛나는제주/제주관광진흥기금/재원난/관광복권/한라일보/카지노,22,202212
제주카페,383,트위터,제주도여행,8,제주도여행/제주여행/제주커피/제주에스프레소/글러트니/제주카페투어/카페로여행가자/명월국민학교/제주/제주도/여행,11,202212
제주여행,591,트위터,제주도,13,제주도/제주/jeju/제주도여행/청소년의회/청소년의원/대학생기자/청소년기자/대학생기자단/청소년기자단/제주미니/특화/플랫폼/여행/비자림/머체왓/머체왓숲길/산방산/유화펜션/불멍화로/제주가볼만한곳/제주커피/제주에스프레소/글러트니/제주카페투어/카페로여행가자/카멜리아힐/갬성/단독풀빌라/제주펜션/찜질/자쿠지/온수/대한민국청소년의회/제주애월카페/한담해변/제주3박4일/겨울여행/korea/신영태/감귤/신영태해설사/43트라우마센터/건오/스누피가든/예쁘지호/제주스누피가든/탄산온천/릴스장인/산방산탄산온천/제주카페/성산일출봉/latepost/금악오름/현대자동차/고객커뮤니케이션채널/H/현대자동차히어/자동차/카스타그램/이벤트/고객/정보/풀빌라/프라이빗/찜질방펜션/효도여행/연인/제주숙소/자쿠지펜션,70,202212
제주가볼만한곳,45,트위터,제주여행,3,제주여행/겨울여행/오름/사려니숲길/제주/제주도/여행/jeju/스누피가든/예쁘지호/제주도여행/제주스누피가든,12,202212
제주캠핑,40,트위터,,0,,0,202212
제주차박,0,트위터,,0,,0,202212
제주도관광,12,트위터,제주관광,4,제주관광,1,202212
제주도카페,144,트위터,제주도겨울여행,3,제주도겨울여행/서귀포겨울여행/제주도카페추천/서귀포카페추천/서귀포카페/제주도가볼만한곳/서귀포가볼만한곳/엘파소/안덕면카페/산방산카페/인스타핫플/귤꽃다락/서귀포귤밭카페/제주도귤밭카페,14,202212
제주도여행,674,트위터,제주도렌트카,27,제주도렌트카/제주도항공권/제주렌트카/제주몬/제주카페/여행/제주도/제주/제주여행/제주실내관광지/형원인형/제주도여행기/가이드/스누피가든/예쁘지호/제주가볼만한곳/제주스누피가든/jeju/성산일출봉/latepost,20,202212
제주도가볼만한곳,74,트위터,제주도겨울여행,3,제주도겨울여행/서귀포겨울여행/제주도카페추천/서귀포카페추천/제주도카페/서귀포카페/서귀포가볼만한곳/제주/제주도/엘파소/안덕면카페/산방산카페/인스타핫플/우도/겨울/korea/겨울여행/제주겨울여행/여행/제주시/귤꽃다락/서귀포귤밭카페/제주도귤밭카페,23,202212
제주도캠핑,7,트위터,,0,,0,202212
제주도차박,0,트위터,,0,,0,202212
따라비오름,2,트위터,,0,,0,202212
궷물오름,0,트위터,,0,,0,202212
981파크,7,트위터,,0,,0,202212
제주맛집,169,트위터,제주,5,제주/제주도/제주관광/여행/jeju/맛집/맛스타그램/먹스타그램/음식스타그램/로이앤메이/온평리/중국식가정식/제주찐맛집/탐나오/꼬치/야키토리6126/사광식당/제주도맛집/제주도해장국맛집/제주도해장국/제주해장국맛집/제주해장국,22,202212
제주도맛집,196,트위터,중문맛집,1,중문맛집/제주도/중문/갈치조림/갈치조림맛집/서귀포/중문갈치조림/사광식당/제주맛집/제주도해장국맛집/제주도해장국/제주해장국맛집/제주해장국,13,202212
